"state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Ethnic_Description","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation","row_index"
"ca",1,45,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",57243,"Apartment",138175,0,212502
"ny",1,95,0,"Republican","European","Italian","Republican",71917,"Apartment",137500,1,132906
"vt",1,70,0,"Democratic","European","Irish","Democratic",31000,"Residential",90463,0,230464
"wi",0,NA,1,"Non-Partisan","","","Independent",NA,"Unknown",NA,0,59958
"md",0,NA,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",94000,"Residential",356056,0,258373
"ca",1,24,0,"Non-Partisan","European","English/Welsh","Independent",108749,"Unknown",499241,0,96894
"ut",1,31,0,"Non-Partisan","European","English/Welsh","Independent",44000,"Residential",363357,1,90040
"pa",0,32,1,"Democratic","European","Italian","Democratic",69090,"Apartment",199073,0,135996
"nm",0,47,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",7000,"Triplex",51312,0,93289
"ny",1,65,0,"Republican","European","German","Republican",101292,"Apartment",237500,0,130422
"fl",1,78,1,"Democratic","European","English/Welsh","Democratic",183000,"Residential",446336,0,289575
"wi",1,NA,1,"Democratic","European","English/Welsh","Democratic",48000,"Residential",194359,0,59756
"ct",1,63,1,"Democratic","European","English/Welsh","Democratic & Independent",141508,"Residential",1000000,0,4375
"tx",1,27,0,"Republican","European","French","Republican",124000,"Apartment",942023,0,192205
"sc",0,69,1,"Republican","European","English/Welsh","Republican",69662,"Unknown",182385,0,27434
"ca",1,23,1,"Democratic","European","English/Welsh","Democratic",129822,"Unknown",665552,0,100916
"dc",0,NA,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",120967,"Apartment",462244,0,137547
"ky",0,19,1,"Republican","European","English/Welsh","Democratic & Republican",250000,"Residential",736101,0,306808
"ny",1,24,1,"Non-Partisan","European","Italian","Independent",94564,"Unknown",256249,0,9593
"il",1,39,0,"Republican","European","Irish","Republican",131000,"Apartment",62500,1,182365
"ms",0,84,1,"Democratic","European","Irish","Democratic",56288,"Residential",87500,1,305107
"oh",1,29,1,"Republican","European","Irish","Republican",120000,"Residential",316812,0,309260
"ia",0,22,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",193749,"Apartment",389830,0,172732
"wi",1,38,0,"Republican","European","Czech","Republican",78610,"Residential",215115,0,60681
"or",0,65,1,"Democratic","European","Irish","Democratic & Republican",70000,"Residential",474820,1,407442
"ca",1,65,0,"Republican","European","English/Welsh","Republican",88819,"Apartment",578570,0,205035
"tx",1,69,1,"Republican","European","Scots","Republican",163342,"Residential",325000,0,360696
"wa",0,59,0,"Non-Partisan","European","Hungarian","Independent",133000,"Residential",432932,0,411985
"nj",0,73,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",168000,"Residential",363698,1,234528
"ga",0,57,0,"Non-Partisan","European","English/Welsh","Republican & Independent",84000,"Residential",60164,1,284549
"md",1,71,0,"Democratic","","","Democratic",69000,"Condominium",295464,0,16943
"ga",1,30,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",72000,"Residential",238443,0,282825
"in",0,89,1,"Democratic","European","English/Welsh","Democratic & Independent",48749,"Residential",87500,1,320920
"ky",0,25,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",9000,"Residential",94705,0,46253
"oh",1,33,1,"Republican","","","Republican",172000,"Apartment",309472,0,166348
"mi",1,67,0,"Republican","European","Italian","Republican",51551,"Residential",65226,1,329474
"az",1,73,1,"Republican","European","English/Welsh","Republican",140000,"Residential",321355,0,384964
"ca",0,44,1,"American Independent","Other","Ukrainian","Independent",88602,"Apartment",425000,0,206993
"md",1,46,1,"Non-Partisan","","","Democratic & Independent",95542,"Residential",274118,0,262254
"fl",1,96,0,"Republican","European","French","Republican",110406,"Residential",390971,1,37911
"nj",1,64,1,"Non-Partisan","European","English/Welsh","Independent",129451,"Residential",475000,1,238736
"mo",1,72,0,"Republican","European","English/Welsh","Republican",44000,"Residential",137802,0,351730
"va",1,69,1,"Democratic","European","English/Welsh","Democratic",116000,"Condominium",325000,0,263563
"il",1,29,1,"Democratic","European","Polish","Democratic & Independent",39749,"Apartment",297158,1,345638
"nc",1,61,0,"Non-Partisan","Likely African-American","African or Af-Am Self Reported","Independent",33000,"Residential",169434,0,268713
"ma",0,23,0,"Non-Partisan","","","Democratic & Independent",104687,"Apartment",625000,0,114037
"ca",1,65,1,"Republican","European","English/Welsh","Republican",118840,"Residential",771907,0,105277
"fl",0,42,1,"Non-Partisan","European","English/Welsh","Independent",37720,"Apartment",154910,0,156043
"ms",0,64,0,"Non-Partisan","European","English/Welsh","Independent",48000,"Duplex",29610,0,305671
"ca",1,31,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",58823,"Unknown",403845,0,95688
"wa",1,24,1,"Republican","","","Republican",60440,"Unknown",266249,0,109937
"mt",1,53,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",205000,"Residential",375000,1,340589
"tx",1,53,1,"Republican","European","English/Welsh","Republican",187000,"Residential",367399,0,370600
"ga",0,53,0,"Non-Partisan","European","English/Welsh","Independent",80528,"Residential",210737,0,282123
"al",1,61,1,"Republican","European","English/Welsh","Republican",69000,"Residential",123764,1,300170
"pa",1,30,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",63870,"Residential",165202,0,14017
"va",1,28,1,"Democratic","European","Polish","Democratic",112229,"Residential",332352,0,265424
"nc",1,57,0,"Democratic","European","Irish","Democratic",110000,"Residential",195669,0,273171
"tx",0,68,1,"Democratic","European","English/Welsh","Democratic",80377,"Unknown",151249,1,78316
"sc",0,71,0,"Non-Partisan","European","English/Welsh","Independent",91000,"Apartment",179567,0,146017
"nc",0,31,0,"Non-Partisan","European","Scots","Independent",43124,"Apartment",156249,0,144966
"ms",0,NA,0,"Non-Partisan","","","Independent",87985,"Unknown",176538,0,44573
"nj",0,42,1,"Non-Partisan","Other","Russian (omitting former Soviet States)","Democratic & Independent",NA,"Apartment",87500,0,119500
"oh",0,24,1,"Non-Partisan","European","English/Welsh","Democratic & Independent",81000,"Residential",237500,0,51156
"tx",0,89,1,"Non-Partisan","East and South Asian","Vietnamese","Independent",45065,"Unknown",60937,0,86005
"tx",1,29,0,"Non-Partisan","European","English/Welsh","Independent",44000,"Residential",99264,0,79371
"tx",1,23,0,"Republican","European","English/Welsh","Republican",63946,"Unknown",144976,0,83878
"or",1,89,1,"Republican","European","English/Welsh","Republican",65000,"Apartment",191666,0,217969
"oh",0,54,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",14930,"Apartment",72856,0,164756
"va",1,61,0,"Republican","","","Republican",79000,"Apartment",246315,1,142000
"ca",0,80,0,"Republican","European","English/Welsh","Republican",184000,"Apartment",475000,1,216571
"or",1,63,1,"Republican","European","English/Welsh","Republican & Independent",84000,"Residential",231375,0,108272
"ma",1,39,0,"Democratic","Hispanic and Portuguese","Portuguese","Democratic & Independent",112499,"Triplex",618851,0,113188
"ny",1,34,1,"Non-Partisan","European","Italian","Republican & Independent",152716,"Residential",460758,0,239841
"or",1,35,1,"Republican","East and South Asian","Unknown Asian","Republican & Independent",62166,"Unknown",89499,0,108074
"al",0,61,1,"Non-Partisan","European","English/Welsh","Independent",40000,"Residential",80903,0,298854
"oh",1,46,0,"Republican","European","English/Welsh","Republican",60000,"Apartment",67892,0,164901
"va",0,47,0,"Democratic","European","German","Democratic",196000,"Residential",586380,0,18283
"wa",0,22,0,"Non-Partisan","","","Independent",96428,"Apartment",273683,0,220940
"wi",1,72,0,"Republican","European","Norwegian","Republican & Independent",54772,"Residential",139297,0,60181
"ca",1,44,0,"Democratic","European","English/Welsh","Democratic",94791,"Unknown",324166,0,105116
"ca",1,21,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",77000,"Residential",524208,0,391639
"ky",1,20,1,"Democratic","European","English/Welsh","Democratic",131000,"Residential",265785,0,308605
"al",1,78,0,"Republican","European","Irish","Republican",48332,"Residential",287500,1,297850
"oh",0,34,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",59499,"Apartment",115440,0,165648
"mi",1,59,0,"Non-Partisan","European","English/Welsh","Independent",151000,"Residential",213192,1,57153
"fl",0,38,0,"Non-Partisan","European","Italian","Independent",63000,"Residential",203644,0,36848
"mn",1,80,1,"Democratic","","","Democratic & Republican",24000,"Residential",99593,1,338524
"ok",1,88,1,"Republican","European","English/Welsh","Republican",69289,"Residential",137500,0,358347
"tx",1,46,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",133000,"Residential",569564,0,84444
"al",0,45,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",42221,"Apartment",91110,0,158720
"ct",1,45,1,"Non-Partisan","European","English/Welsh","Independent",57000,"Residential",168625,0,231167
"ct",0,29,0,"Democratic","European","Irish","Democratic & Republican & Independent",250000,"Residential",2671099,1,232746
"ga",1,55,0,"Non-Partisan","European","English/Welsh","Republican & Independent",154000,"Residential",265279,0,282292
"oh",1,46,0,"Democratic","European","English/Welsh","Democratic",130000,"Apartment",119023,1,165203
"id",1,80,1,"Libertarian","European","English/Welsh","Independent",67499,"Residential",297988,0,89873
"la",1,33,1,"Democratic","East and South Asian","Chinese","Democratic",138000,"Residential",330044,0,73395
"ca",1,71,0,"Non-Partisan","European","Irish","Republican & Independent",250000,"Residential",1103643,0,395853
"ma",1,44,0,"Non-Partisan","European","English/Welsh","Independent",211000,"Residential",490808,0,225874
"nc",1,59,1,"Non-Partisan","European","English/Welsh","Independent",250000,"Residential",456132,0,273250
"nc",1,30,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",17000,"Apartment",117499,1,144365
"tn",1,47,0,"Republican","European","English/Welsh","Republican & Independent",153000,"Residential",200769,0,301437
"ri",0,96,1,"Non-Partisan","","","Independent",71446,"Residential",187500,1,228161
"tn",1,61,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic & Independent",34749,"Apartment",198749,0,161226
"tx",1,28,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",53928,"Residential",235341,0,78452
"wv",1,86,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",47000,"Residential",93894,1,267532
"ny",1,69,1,"Democratic","European","German","Democratic",76155,"Apartment",394999,0,128932
"ia",0,45,1,"Non-Partisan","European","Irish","Independent",194000,"Residential",528295,1,330435
"tx",0,87,1,"Republican","European","German","Republican",71000,"Residential",262600,1,375029
"oh",1,22,1,"Non-Partisan","European","English/Welsh","Independent",74000,"Residential",177029,0,315345
"pa",1,58,0,"Republican","European","Hungarian","Republican",65624,"Unknown",12500,1,249366
"pa",1,62,0,"Democratic","European","Italian","Democratic",70000,"Duplex",62500,1,249790
"il",1,98,1,"Democratic","European","German","Democratic",117528,"Apartment",216666,0,182450
"fl",1,78,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",24749,"Apartment",180356,0,154206
"tx",1,60,0,"Non-Partisan","European","English/Welsh","Independent",123000,"Apartment",227754,0,190516
"mn",1,60,1,"Non-Partisan","European","English/Welsh","Independent",137000,"Residential",333577,0,336229
"il",1,67,1,"Republican","European","English/Welsh","Republican",77000,"Residential",129635,0,347412
"or",0,31,1,"Non-Partisan","European","English/Welsh","Independent",91221,"Unknown",370970,0,106718
"az",1,49,0,"Democratic","European","English/Welsh","Democratic & Independent",250000,"Residential",373633,0,383685
"mo",1,59,0,"Republican","European","French","Republican",137000,"Residential",385010,0,351377
"mo",1,43,1,"Republican","European","Irish","Republican",250000,"Residential",483827,0,352449
"oh",1,67,0,"Republican","European","English/Welsh","Republican",89000,"Residential",332523,0,310564
"nm",1,71,1,"Republican","European","Scots","Republican",30000,"Residential",34905,0,94119
"ok",1,59,0,"Republican","European","Scots","Republican",250000,"Residential",255271,0,77196
"wa",1,84,0,"Democratic","European","Dutch (Netherlands)","Democratic",118000,"Residential",603637,1,410315
"az",0,82,0,"Democratic","European","Dutch (Netherlands)","Democratic & Independent",22000,"Residential",67476,1,385081
"mo",0,62,1,"Non-Partisan","European","English/Welsh","Independent",10000,"Residential",146161,0,352687
"nc",1,19,1,"Democratic","","","Democratic",NA,"Apartment",NA,0,145293
"oh",1,43,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",53035,"Residential",89499,0,49436
"mi",1,32,0,"Democratic","European","German","Democratic",49166,"Apartment",63124,0,170794
"nj",1,28,1,"Republican","","","Republican",116378,"Unknown",445454,0,5068
"il",1,91,1,"Democratic","European","German","Democratic",86718,"Apartment",152638,0,182459
"md",1,46,0,"Democratic","European","Irish","Democratic",72000,"Condominium",205184,0,262401
"pa",0,39,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican",75000,"Residential",248164,0,13816
"nm",1,69,1,"Non-Partisan","European","English/Welsh","Independent",46785,"Apartment",189499,0,201164
"co",1,68,1,"Republican","European","Italian","Republican",56000,"Condominium",353892,0,376268
"nh",1,NA,0,"Non-Partisan","European","Italian","Independent",68000,"Residential",101431,0,229201
"mi",0,19,0,"Democratic","European","English/Welsh","Democratic & Republican",79000,"Residential",62250,0,327777
"id",1,75,0,"Republican","European","Norwegian","Republican",49000,"Residential",112500,1,379505
"ga",0,47,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",67058,"Unknown",157789,0,30569
"in",0,45,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",41153,"Unknown",60277,0,52805
"al",1,41,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",47142,"Apartment",163689,0,159563
"id",0,41,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",92942,"Apartment",299496,0,198025
"al",1,78,1,"Republican","European","English/Welsh","Republican",NA,"Residential",87500,0,299669
"tn",1,56,1,"Non-Partisan","European","Irish","Independent",103319,"Unknown",325244,0,41946
"mi",1,71,1,"Republican","European","French","Republican",190000,"Residential",373255,1,322659
"tx",0,49,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",112000,"Residential",249015,0,362862
"in",0,43,1,"Non-Partisan","European","Swedish","Independent",NA,"Unknown",NA,0,52236
"ca",0,85,1,"Democratic","European","Italian","Democratic & Independent",120191,"Apartment",394047,0,216504
